iter,timestamp_iso,elapsed_sec,image_path,annotated_path,door_state,door_confidence,handle_present,material_visible,need_open_door_result,need_open_door_reason,material_after_open_result,material_after_open_reason,goal_status,goal_reason_code,goal_message,next_action_name,next_action_args,full_action_list_json,skip_log_json,detected_json,raw_len
1,2025-09-05T15:09:35,7.161,/tmp/vlm_frame_1757052569426.png,/tmp/vlm_frame_1757052569426_det.png,closed,0.9,True,uncertain,True,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,218,272,471]],""material"":[[322,331,335,344]]}",1088
2,2025-09-05T15:09:41,5.514,/tmp/vlm_frame_1757052576620.png,/tmp/vlm_frame_1757052576620_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,223,272,471]],""material"":[[322,330,335,344]]}",1386
3,2025-09-05T15:09:46,5.420,/tmp/vlm_frame_1757052582113.png,/tmp/vlm_frame_1757052582113_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,214,272,472]],""material"":[[322,330,335,344]]}",1386
4,2025-09-05T15:09:52,5.258,/tmp/vlm_frame_1757052587595.png,/tmp/vlm_frame_1757052587595_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,211,272,471]],""material"":[[322,331,335,344]]}",1386
5,2025-09-05T15:09:57,5.462,/tmp/vlm_frame_1757052593076.png,/tmp/vlm_frame_1757052593076_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,213,272,472]],""material"":[[322,330,335,344]]}",1386
6,2025-09-05T15:10:03,5.325,/tmp/vlm_frame_1757052598570.png,/tmp/vlm_frame_1757052598570_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,221,272,471]],""material"":[[322,331,335,344]]}",1386
7,2025-09-05T15:10:08,5.429,/tmp/vlm_frame_1757052604052.png,/tmp/vlm_frame_1757052604052_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,229,272,472]],""material"":[[322,330,335,344]]}",1386
8,2025-09-05T15:10:14,5.369,/tmp/vlm_frame_1757052609547.png,/tmp/vlm_frame_1757052609547_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,217,272,472]],""material"":[[322,330,335,344]]}",1386
9,2025-09-05T15:10:19,5.390,/tmp/vlm_frame_1757052615050.png,/tmp/vlm_frame_1757052615050_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,215,271,471]],""material"":[[322,331,335,344]]}",1386
10,2025-09-05T15:10:25,5.396,/tmp/vlm_frame_1757052620532.png,/tmp/vlm_frame_1757052620532_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,221,272,471]],""material"":[[322,330,335,344]]}",1386
